iter	RMSE
0	12.03596051
1	11.47271469
2	10.93251815
3	10.41073858
4	9.933769689
5	9.461187557
6	9.03444639
7	8.628919518
8	8.252483782
9	7.895976803
10	7.544768741
11	7.210908297
12	6.897843665
13	6.602287898
14	6.333370438
15	6.069373208
16	5.816981693
17	5.586584383
18	5.380240041
19	5.173780297
20	4.991119944
21	4.812517193
22	4.643952263
23	4.484016093
24	4.332178619
25	4.191367569
26	4.058937609
27	3.936183829
28	3.826038737
29	3.716053059
30	3.619197702
31	3.52140422
32	3.433847701
33	3.348761339
34	3.271589903
35	3.201130789
36	3.135030891
37	3.076630582
38	3.02098341
39	2.968448509
40	2.92166549
41	2.878213182
42	2.838987968
43	2.802943893
44	2.766462018
45	2.736147534
46	2.707383824
47	2.679924593
48	2.654051623
49	2.630117077
50	2.609062194
51	2.58910152
52	2.569279896
53	2.553850121
54	2.536613046
55	2.522014318
56	2.507723684
57	2.494660457
58	2.482195178
59	2.469621091
60	2.458454807
61	2.446334198
62	2.437907046
63	2.428610078
64	2.420111287
65	2.412859681
66	2.405155578
67	2.398517122
68	2.391943534
69	2.3851438
70	2.376350501
71	2.370178202
72	2.364442506
73	2.359635828
74	2.354532116
75	2.350248835
76	2.342302828
77	2.337927531
78	2.332615559
79	2.327313925
80	2.321654589
81	2.317439744
82	2.314338183
83	2.310837583
84	2.306636812
85	2.301828787
86	2.298476524
87	2.294008123
88	2.290113628
89	2.286798781
90	2.283407973
91	2.279878395
92	2.276112602
93	2.271428146
94	2.267179351
95	2.264885701
96	2.260002204
97	2.257087964
98	2.255080328
99	2.251726437
100	2.247900805
101	2.244369346
102	2.240313684
103	2.237567531
104	2.234787438
105	2.231474797
106	2.228476763
107	2.225972024
108	2.22399953
109	2.220936338
110	2.21825375
111	2.215824282
112	2.213460651
113	2.211129077
114	2.208465051
115	2.206677708
116	2.204849808
117	2.202303308
118	2.19935335
119	2.195207716
120	2.191909111
121	2.189346819
122	2.187380473
123	2.185070097
124	2.183664717
125	2.180325234
126	2.177970449
127	2.175470348
128	2.173378992
129	2.172047886
130	2.169880103
131	2.166648799
132	2.163961394
133	2.162473326
134	2.159661101
135	2.157975674
136	2.155979736
137	2.154246217
138	2.151630024
139	2.14949088
140	2.146996176
141	2.14533482
142	2.14196775
143	2.139338617
144	2.136909026
145	2.134526312
146	2.131076382
147	2.12915675
148	2.126699555
149	2.124197292
150	2.122188624
151	2.120275696
152	2.118065312
153	2.115990426
154	2.113525811
155	2.111500297
156	2.108968005
157	2.106164441
158	2.103886505
159	2.101641555
160	2.100092197
161	2.0974853
162	2.095542837
163	2.093271665
164	2.091156156
165	2.088610876
166	2.086466117
167	2.083767647
168	2.081519648
169	2.078373277
170	2.076451397
171	2.074471248
172	2.07208566
173	2.069885107
174	2.066362924
175	2.06387234
176	2.061887685
177	2.058581593
178	2.056087865
179	2.053445705
180	2.051449193
181	2.048466036
182	2.046201275
183	2.044208157
184	2.04172392
185	2.039945991
186	2.038070821
187	2.035775486
188	2.033047511
189	2.030965499
190	2.029095462
191	2.027671041
192	2.026001265
193	2.023846295
194	2.022150354
195	2.019266059
196	2.016735655
197	2.014927549
198	2.013099525
199	2.011636918
200	2.009128737
201	2.007061016
202	2.004878241
203	2.002351068
204	2.000404404
205	1.997478685
206	1.995239865
207	1.993083456
208	1.991473699
209	1.989524927
210	1.98746124
211	1.985273377
212	1.983035577
213	1.980952623
214	1.978620241
215	1.976906085
216	1.97437719
217	1.971736339
218	1.970453123
219	1.968020103
220	1.965672971
221	1.963821491
222	1.961507332
223	1.959461874
224	1.957239775
225	1.954987242
226	1.952721365
227	1.950506475
228	1.948651726
229	1.946762847
230	1.944886816
231	1.942587311
232	1.941227477
233	1.939363353
234	1.937698607
235	1.935336324
236	1.933139529
237	1.931140951
238	1.929151679
239	1.927854102
240	1.926053071
241	1.924138105
242	1.921484961
243	1.920172976
244	1.918311878
245	1.916775623
246	1.914392031
247	1.912360248
248	1.909879581
249	1.90778328
250	1.905527017
251	1.903823591
252	1.902706794
253	1.900820437
254	1.898669437
255	1.89643497
256	1.895114343
257	1.893099053
258	1.891111273
259	1.889529921
260	1.887847692
261	1.886257481
262	1.884022316
263	1.882967049
264	1.881144652
265	1.879495274
266	1.87827788
267	1.876375717
268	1.874826882
269	1.873263369
270	1.872203333
271	1.870733819
272	1.869548385
273	1.868329385
274	1.865568476
275	1.86322102
276	1.862176207
277	1.859186579
278	1.856964862
279	1.854845437
280	1.853077906
281	1.851925785
282	1.850689655
283	1.848871155
284	1.846458927
285	1.84444042
286	1.843299975
287	1.841631342
288	1.839971928
289	1.837786016
290	1.836701071
291	1.835230427
292	1.833591111
293	1.831663
294	1.829884961
295	1.827430365
296	1.826850952
297	1.825225176
298	1.822835736
299	1.821825242
300	1.820315453
301	1.818770812
302	1.816981574
303	1.815708818
304	1.813623517
305	1.811434504
306	1.810234343
307	1.808942143
308	1.8078018
309	1.805707956
310	1.8038913
311	1.802504397
312	1.80196832
313	1.800797653
314	1.79947608
315	1.799164663
316	1.798182977
317	1.79629308
318	1.794323782
319	1.793406458
320	1.791872242
321	1.791595725
322	1.789840917
323	1.78845547
324	1.787084453
325	1.785568409
326	1.783613909
327	1.781867266
328	1.779714195
329	1.778624504
330	1.776865264
331	1.774725913
332	1.773597814
333	1.771754254
334	1.770564473
335	1.76937548
336	1.767933764
337	1.766163909
338	1.764948472
339	1.763405485
340	1.763221813
341	1.76204316
342	1.760230659
343	1.758854656
344	1.756972358
345	1.75506039
346	1.75379387
347	1.751787474
348	1.749998621
349	1.748403729
350	1.747194516
351	1.745298701
352	1.743864714
353	1.74319559
354	1.741995029
355	1.740839507
356	1.73941981
357	1.737449439
358	1.735452523
359	1.733544964
360	1.733361188
361	1.731638483
362	1.730409257
363	1.728899002
364	1.727423572
365	1.725579738
366	1.72407936
367	1.722773266
368	1.720628821
369	1.719679313
370	1.718616824
371	1.717516315
372	1.715848146
373	1.714285346
374	1.713185757
375	1.712110891
376	1.710326824
377	1.709213114
378	1.707251519
379	1.705795059
380	1.704398546
381	1.70280801
382	1.701851861
383	1.700871865
384	1.699200913
385	1.697808441
386	1.697583501
387	1.696462786
388	1.695556047
389	1.694126452
390	1.692605998
391	1.690839141
392	1.689743715
393	1.687506917
394	1.686598101
395	1.685243462
396	1.68507637
397	1.684088456
398	1.683384682
399	1.681635166
400	1.680383701
401	1.67818142
402	1.676607703
403	1.67478481
404	1.674022459
405	1.673619759
406	1.671844735
407	1.670266089
408	1.669137593
409	1.668038341
410	1.666539953
411	1.665565609
412	1.663956571
413	1.662933773
414	1.661483254
415	1.661341232
416	1.660596896
417	1.659373757
418	1.657933942
419	1.656516692
420	1.65451792
421	1.653171785
422	1.651635965
423	1.650423658
424	1.648572967
425	1.647817848
426	1.647060317
427	1.645649163
428	1.644125901
429	1.643130653
430	1.642102298
431	1.640964902
432	1.640306085
433	1.639198689
434	1.638686264
435	1.637689339
436	1.636477253
437	1.635211046
438	1.634095837
439	1.632733621
440	1.631494385
441	1.630125922
442	1.629179393
443	1.627417455
444	1.625687376
445	1.624881513
446	1.624197245
447	1.624145831
448	1.62273749
449	1.622016057
450	1.621355083
451	1.619682776
452	1.618356676
453	1.617645509
454	1.616953783
455	1.615968431
456	1.614981287
457	1.613596052
458	1.612237494
459	1.610887599
460	1.609647077
461	1.608495296
462	1.607630916
463	1.606587184
464	1.605231074
465	1.604291449
466	1.602712138
467	1.602395196
468	1.600670123
469	1.599877941
470	1.598547414
471	1.596420128
472	1.595237226
473	1.593738297
474	1.592893252
475	1.591206418
476	1.590224088
477	1.588559621
478	1.586557023
479	1.585439702
480	1.584257772
481	1.583392149
482	1.582507349
483	1.581548771
484	1.579668582
485	1.578978321
486	1.578165081
487	1.577132644
488	1.575672857
489	1.574727274
490	1.573418524
491	1.572590388
492	1.571686904
493	1.570671676
494	1.569329713
495	1.568161557
496	1.567014652
497	1.565344867
498	1.564558834
499	1.562751272
500	1.561814423
501	1.560766773
502	1.559694884
503	1.558518323
504	1.5575313
505	1.556115728
506	1.554495641
507	1.553381351
508	1.552384572
509	1.55094456
510	1.549628322
511	1.547948696
512	1.547054397
513	1.545308585
514	1.54510156
515	1.544424191
516	1.543375639
517	1.541663247
518	1.541006805
519	1.539341477
520	1.537918877
521	1.536756961
522	1.535635348
523	1.534652197
524	1.53346713
525	1.532439935
526	1.531199261
527	1.530311598
528	1.528910553
529	1.52744576
530	1.527373292
531	1.526581638
532	1.525616717
533	1.524812969
534	1.524088801
535	1.522941655
536	1.52188618
537	1.52067038
538	1.519359647
539	1.519267717
540	1.517643067
541	1.517570249
542	1.516504156
543	1.515135118
544	1.514124658
545	1.513087518
546	1.511964672
547	1.510943881
548	1.509824531
549	1.509063522
550	1.507602428
551	1.506857859
552	1.505621322
553	1.504229247
554	1.50302231
555	1.501690395
556	1.500463497
557	1.49894625
558	1.497719311
559	1.496575125
560	1.496420991
561	1.49492049
562	1.49398268
563	1.493222096
564	1.491775837
565	1.490567303
566	1.489182446
567	1.488126307
568	1.486987497
569	1.485511501
570	1.484692863
571	1.483555667
572	1.482680096
573	1.481758348
574	1.480881143
575	1.479797462
576	1.478910114
577	1.477587958
578	1.476854096
579	1.475429134
580	1.474155369
581	1.474083326
582	1.473039995
583	1.471750484
584	1.470996006
585	1.470271787
586	1.468881894
587	1.468008294
588	1.466867646
589	1.465898574
590	1.464930867
591	1.463710947
592	1.462388731
593	1.461300152
594	1.460248087
595	1.45918127
596	1.45812167
597	1.456680587
598	1.455350898
599	1.453873745
600	1.45290983
601	1.452451336
602	1.451634334
603	1.450571805
604	1.449098824
605	1.448755379
606	1.447868998
607	1.446748625
608	1.445578955
609	1.444440449
610	1.442944319
611	1.441994644
612	1.440900844
613	1.43991827
614	1.438940437
615	1.438265785
616	1.437397934
617	1.4363598
618	1.43563446
619	1.434319767
620	1.432839986
621	1.431935767
622	1.431165039
623	1.429962626
624	1.429125171
625	1.428179267
626	1.427383889
627	1.426502751
628	1.425041747
629	1.423887107
630	1.423761604
