iter	Passed	Remaining
0	31	31862
1	41	20649
2	50	16700
3	59	14826
4	68	13725
5	78	12967
6	87	12446
7	96	11997
8	106	11679
9	115	11460
10	125	11278
11	134	11092
12	144	10943
13	155	10971
14	165	10883
15	175	10785
16	185	10704
17	195	10653
18	204	10549
19	213	10475
20	223	10401
21	232	10342
22	242	10285
23	251	10231
24	260	10155
25	269	10096
26	278	10047
27	287	9997
28	297	9950
29	306	9908
30	316	9882
31	325	9840
32	334	9804
33	344	9779
34	353	9749
35	362	9717
36	372	9685
37	381	9657
38	390	9630
39	402	9661
40	413	9679
41	424	9672
42	433	9648
43	442	9617
44	452	9594
45	461	9567
46	470	9546
47	481	9542
48	490	9519
49	499	9496
50	508	9463
51	517	9437
52	526	9411
53	536	9395
54	546	9395
55	556	9386
56	566	9368
57	575	9344
58	584	9317
59	594	9306
60	603	9291
61	613	9277
62	623	9269
63	633	9261
64	643	9254
65	653	9245
66	663	9239
67	673	9231
68	683	9221
69	693	9218
70	704	9211
71	714	9208
72	725	9213
73	735	9209
74	746	9203
75	756	9198
76	766	9185
77	776	9179
78	786	9169
79	796	9155
80	805	9140
81	816	9142
82	826	9134
83	837	9129
84	846	9117
85	857	9110
86	867	9100
87	876	9086
88	887	9079
89	896	9066
90	906	9058
91	916	9049
92	927	9046
93	937	9039
94	947	9029
95	957	9016
96	967	9002
97	976	8987
98	985	8970
99	995	8956
100	1005	8952
101	1017	8956
102	1026	8942
103	1036	8931
104	1046	8917
105	1057	8915
106	1067	8910
107	1078	8906
108	1088	8896
109	1098	8890
110	1109	8886
111	1119	8874
112	1129	8865
113	1140	8861
114	1149	8849
115	1160	8842
116	1170	8836
117	1181	8830
118	1192	8825
119	1202	8820
120	1213	8814
121	1223	8808
122	1234	8799
123	1244	8791
124	1282	8975
125	1295	8983
126	1307	8987
127	1328	9047
128	1339	9044
129	1351	9046
130	1364	9048
131	1376	9053
132	1389	9057
133	1402	9063
134	1415	9067
135	1426	9065
136	1438	9064
137	1450	9059
138	1462	9059
139	1482	9107
140	1493	9096
141	1503	9085
142	1528	9161
143	1538	9148
144	1549	9138
145	1561	9130
146	1571	9119
147	1581	9105
148	1591	9092
149	1602	9079
150	1612	9066
151	1622	9051
152	1633	9041
153	1642	9022
154	1652	9008
155	1661	8990
156	1671	8972
157	1681	8961
158	1692	8951
159	1702	8938
160	1713	8929
161	1724	8920
162	1735	8912
163	1746	8904
164	1757	8895
165	1767	8879
166	1777	8865
167	1788	8855
168	1798	8841
169	1809	8832
170	1818	8815
171	1827	8799
172	1837	8783
173	1847	8770
174	1857	8756
175	1867	8742
176	1877	8731
177	1887	8717
178	1897	8703
179	1908	8692
180	1918	8680
181	1928	8668
182	1938	8652
183	1947	8636
184	1958	8625
185	1968	8612
186	1978	8600
187	1988	8588
188	1998	8575
189	2008	8562
190	2018	8550
191	2028	8537
192	2038	8523
193	2048	8509
194	2057	8494
195	2068	8483
196	2077	8468
197	2087	8453
198	2096	8439
199	2106	8425
200	2116	8411
201	2126	8399
202	2135	8385
203	2145	8372
204	2155	8357
205	2165	8345
206	2175	8333
207	2186	8324
208	2196	8314
209	2207	8304
210	2217	8291
211	2227	8280
212	2237	8266
213	2248	8258
214	2259	8248
215	2269	8236
216	2279	8226
217	2290	8215
218	2301	8206
219	2311	8195
220	2321	8182
221	2331	8171
222	2341	8158
223	2352	8150
224	2362	8136
225	2371	8121
226	2381	8108
227	2391	8096
228	2401	8084
229	2411	8073
230	2421	8062
231	2432	8051
232	2442	8040
233	2453	8030
234	2462	8017
235	2472	8004
236	2482	7990
237	2492	7981
238	2503	7970
239	2520	7981
240	2530	7968
241	2540	7958
242	2552	7951
243	2563	7943
244	2576	7938
245	2587	7929
246	2597	7919
247	2608	7909
248	2619	7899
249	2629	7887
250	2639	7876
251	2650	7867
252	2660	7855
253	2670	7843
254	2681	7832
255	2691	7821
256	2701	7809
257	2711	7797
258	2721	7785
259	2731	7774
260	2741	7763
261	2753	7754
262	2763	7744
263	2774	7733
264	2785	7726
265	2796	7717
266	2806	7705
267	2817	7695
268	2828	7687
269	2840	7680
270	2852	7673
271	2864	7666
272	2875	7658
273	2887	7650
274	2899	7642
275	2917	7652
276	2928	7643
277	2939	7634
278	2951	7626
279	2962	7616
280	2972	7606
281	2982	7594
282	2993	7583
283	3003	7571
284	3013	7560
285	3023	7549
286	3034	7537
287	3044	7527
288	3055	7516
289	3065	7505
290	3075	7493
291	3085	7482
292	3096	7470
293	3106	7459
294	3117	7449
295	3127	7439
296	3138	7429
297	3149	7418
298	3159	7408
299	3169	7396
300	3180	7385
301	3190	7374
302	3200	7362
303	3210	7350
304	3221	7339
305	3231	7329
306	3242	7320
307	3253	7309
308	3263	7298
309	3273	7287
310	3283	7275
311	3294	7264
312	3304	7252
313	3314	7240
314	3324	7228
315	3333	7215
316	3343	7203
317	3353	7191
318	3363	7179
319	3373	7168
320	3383	7156
321	3392	7144
322	3403	7133
323	3413	7121
324	3423	7110
325	3435	7102
326	3445	7091
327	3455	7079
328	3465	7068
329	3475	7056
330	3485	7044
331	3495	7033
332	3506	7022
333	3517	7012
334	3527	7002
335	3537	6991
336	3548	6980
337	3559	6971
338	3569	6960
339	3580	6949
340	3589	6937
341	3599	6925
342	3609	6913
343	3619	6902
344	3629	6891
345	3639	6879
346	3649	6867
347	3659	6855
348	3668	6843
349	3678	6831
350	3687	6819
351	3697	6806
352	3707	6794
353	3717	6783
354	3727	6771
355	3736	6760
356	3746	6748
357	3756	6736
358	3766	6724
359	3776	6713
360	3785	6700
361	3795	6689
362	3805	6678
363	3815	6666
364	3826	6656
365	3836	6646
366	3846	6634
367	3856	6622
368	3866	6611
369	3877	6602
370	3887	6591
371	3897	6580
372	3907	6569
373	3918	6558
374	3927	6546
375	3937	6534
376	3946	6522
377	3956	6510
378	3966	6499
379	3976	6487
380	3986	6477
381	3996	6465
382	4006	6453
383	4015	6442
384	4025	6430
385	4036	6420
386	4045	6408
387	4055	6396
388	4064	6384
389	4074	6373
390	4084	6362
391	4095	6351
392	4105	6340
393	4121	6339
394	4131	6328
395	4141	6316
396	4150	6304
397	4160	6292
398	4170	6281
399	4181	6271
400	4191	6261
401	4203	6253
402	4214	6243
403	4225	6233
404	4235	6221
405	4245	6211
406	4256	6201
407	4266	6190
408	4276	6179
409	4286	6168
410	4296	6157
411	4306	6146
412	4316	6134
413	4327	6124
414	4337	6113
415	4346	6101
416	4356	6090
417	4365	6078
418	4375	6067
419	4385	6056
420	4395	6045
421	4405	6034
422	4416	6024
423	4427	6014
424	4451	6022
425	4462	6012
426	4473	6003
427	4484	5993
428	4495	5983
429	4506	5973
430	4517	5963
431	4557	5992
432	4571	5986
433	4586	5981
434	4597	5971
435	4608	5962
436	4620	5952
437	4631	5942
438	4642	5933
439	4655	5924
440	4673	5923
441	4684	5914
442	4697	5906
443	4711	5900
444	4740	5911
445	4751	5902
446	4762	5892
447	4774	5882
448	4786	5873
449	4797	5863
450	4808	5853
451	4819	5843
452	4829	5832
453	4840	5821
454	4857	5817
455	4867	5806
456	4878	5796
457	4888	5784
458	4898	5773
459	4909	5763
460	4920	5752
461	4930	5741
462	4941	5730
463	4951	5719
464	4962	5709
465	4972	5698
466	4983	5687
467	4993	5676
468	5003	5665
469	5015	5655
470	5026	5645
471	5036	5634
472	5047	5624
473	5058	5613
474	5069	5603
475	5080	5592
476	5090	5581
477	5100	5569
478	5110	5559
479	5121	5547
480	5130	5536
481	5140	5524
482	5151	5513
483	5161	5502
484	5172	5492
485	5182	5481
486	5192	5470
487	5203	5459
488	5215	5450
489	5226	5439
490	5236	5428
491	5246	5416
492	5256	5405
493	5266	5394
494	5277	5383
495	5288	5373
496	5299	5363
497	5309	5351
498	5319	5341
499	5331	5331
500	5341	5320
501	5352	5309
502	5363	5299
503	5373	5288
504	5384	5277
505	5394	5266
506	5404	5255
507	5414	5244
508	5424	5232
509	5435	5221
510	5445	5210
511	5455	5199
512	5466	5189
513	5476	5178
514	5486	5166
515	5495	5155
516	5505	5143
517	5515	5132
518	5526	5121
519	5537	5111
520	5546	5099
521	5555	5087
522	5565	5076
523	5575	5064
524	5585	5053
525	5596	5043
526	5608	5033
527	5645	5047
528	5656	5036
529	5668	5026
530	5679	5016
531	5691	5006
532	5702	4996
533	5714	4986
534	5725	4976
535	5735	4965
536	5746	4954
537	5757	4943
538	5768	4933
539	5778	4922
540	5790	4912
541	5800	4901
542	5812	4891
543	5826	4884
544	5836	4873
545	5847	4862
546	5857	4851
547	5868	4840
548	5878	4829
549	5889	4818
550	5900	4808
551	5913	4799
552	5924	4788
553	5935	4778
554	5991	4804
555	6001	4792
556	6011	4781
557	6021	4769
558	6032	4759
559	6051	4754
560	6061	4742
561	6071	4731
562	6080	4719
563	6091	4709
564	6101	4697
565	6113	4687
566	6122	4675
567	6141	4671
568	6150	4658
569	6159	4646
570	6168	4634
571	6178	4622
572	6187	4611
573	6196	4599
574	6206	4587
575	6215	4575
576	6224	4563
577	6233	4551
578	6243	4539
579	6255	4529
580	6265	4518
581	6274	4506
582	6283	4494
583	6292	4482
584	6302	4470
585	6311	4458
586	6320	4447
587	6329	4435
588	6339	4423
589	6348	4411
590	6360	4401
591	6370	4390
592	6380	4378
593	6389	4367
594	6399	4355
595	6408	4343
596	6417	4332
597	6426	4320
598	6436	4308
599	6446	4297
600	6455	4285
601	6465	4274
602	6474	4262
603	6485	4251
604	6495	4240
605	6504	4229
606	6515	4218
607	6525	4206
608	6535	4196
609	6545	4184
610	6555	4173
611	6565	4162
612	6575	4151
613	6585	4139
614	6595	4128
615	6604	4117
616	6615	4106
617	6625	4095
618	6634	4083
619	6644	4072
620	6654	4061
621	6664	4050
622	6675	4039
623	6685	4028
624	6694	4016
625	6705	4006
626	6716	3995
627	6728	3985
628	6740	3975
629	6750	3964
630	6760	3953
631	6771	3942
632	6787	3935
633	6797	3924
634	6830	3926
635	6840	3914
636	6849	3903
637	6860	3892
638	6871	3882
639	6881	3870
640	6893	3860
641	6904	3850
642	6914	3838
643	6924	3828
644	6934	3816
645	6944	3805
646	6955	3794
647	6965	3783
648	6975	3772
649	6985	3761
650	6995	3750
651	7005	3738
652	7016	3728
653	7027	3717
654	7037	3706
655	7046	3695
656	7056	3684
657	7067	3673
658	7077	3662
659	7087	3651
660	7098	3640
661	7107	3629
662	7117	3617
663	7127	3606
664	7137	3595
665	7147	3584
666	7156	3572
667	7166	3561
668	7175	3550
669	7185	3539
670	7195	3528
671	7205	3516
672	7215	3505
673	7225	3494
674	7236	3484
675	7246	3473
676	7255	3461
677	7266	3450
678	7276	3439
679	7286	3428
680	7296	3417
681	7306	3406
682	7316	3395
683	7325	3384
684	7351	3380
685	7362	3369
686	7372	3359
687	7382	3347
688	7392	3336
689	7402	3325
690	7412	3314
691	7422	3303
692	7432	3292
693	7442	3281
694	7452	3270
695	7463	3260
696	7473	3248
697	7483	3237
698	7493	3226
699	7502	3215
700	7512	3204
701	7521	3192
702	7531	3181
703	7540	3170
704	7550	3159
705	7560	3148
706	7582	3142
707	7593	3131
708	7603	3120
709	7613	3109
710	7646	3107
711	7656	3096
712	7665	3085
713	7675	3074
714	7684	3063
715	7693	3051
716	7703	3040
717	7713	3029
718	7723	3018
719	7732	3007
720	7741	2995
721	7753	2985
722	7765	2975
723	7776	2964
724	7792	2955
725	7802	2944
726	7823	2938
727	7834	2926
728	7845	2916
729	7855	2905
730	7864	2894
731	7874	2882
732	7884	2871
733	7893	2860
734	7902	2849
735	7912	2838
736	7921	2826
737	7944	2820
738	7953	2809
739	7962	2797
740	7971	2786
741	7980	2774
742	7989	2763
743	7999	2752
744	8008	2741
745	8017	2729
746	8027	2718
747	8037	2707
748	8047	2696
749	8056	2685
750	8066	2674
751	8075	2663
752	8085	2652
753	8094	2640
754	8103	2629
755	8113	2618
756	8122	2607
757	8131	2596
758	8140	2584
759	8149	2573
760	8159	2562
761	8169	2551
762	8179	2540
763	8189	2529
764	8201	2519
765	8211	2508
766	8220	2497
767	8230	2486
768	8239	2475
769	8248	2463
770	8258	2452
771	8267	2441
772	8277	2430
773	8286	2419
774	8295	2408
775	8305	2397
776	8315	2386
777	8326	2375
778	8336	2364
779	8346	2354
780	8355	2343
781	8364	2331
782	8374	2320
783	8383	2309
784	8392	2298
785	8402	2287
786	8412	2276
787	8422	2266
788	8432	2255
789	8442	2244
790	8453	2233
791	8463	2222
792	8472	2211
793	8482	2200
794	8492	2189
795	8502	2178
796	8512	2168
797	8521	2157
798	8531	2146
799	8540	2135
800	8550	2124
801	8559	2113
802	8569	2102
803	8579	2091
804	8589	2080
805	8599	2069
806	8610	2059
807	8620	2048
808	8630	2037
809	8640	2026
